areaname,musym,muname,muacres,farmlndcl,PI
"Hocking County, Ohio",CaC2,"Cana Variant silt loam, 8 to 15 percent slopes, eroded",403,Farmland of local importance,58
"Hocking County, Ohio",GuC,"Guernsey silt loam, 8 to 15 percent slopes",403,Farmland of local importance,67
"Hocking County, Ohio",Bhs4D,"Bethesda channery silt loam, 8 to 25  percent slopes, unreclaimed",394,Not prime farmland,25
"Hocking County, Ohio",ZnC,"Zanesville silt loam, 8 to 15 percent slopes",377,Farmland of local importance,62
"Hocking County, Ohio",GgF,"Gilpin-Guernsey complex, 40 to 70 percent slopes",374,Not prime farmland,NA
"Hocking County, Ohio",Lic1B1,"Licking silt loam, 2 to 6 percent slopes",372,All areas are prime farmland,69
"Hocking County, Ohio",Lic1D2,"Licking silt loam, 12 to 18 percent slopes, eroded",372,Farmland of local importance,47
"Hocking County, Ohio",AdD2,"Alexandria silt loam, 12 to 18 percent slopes, eroded",369,Farmland of local importance,61
"Hocking County, Ohio",McA,"McGary silt loam, 0 to 3 percent slopes",367,Prime farmland if drained,68
"Hocking County, Ohio",OtD2,"Otwell silt loam, 12 to 18 percent slopes, eroded",363,Farmland of local importance,52
"Hocking County, Ohio",GdF,"Germano-Rock outcrop complex, 40 to 70 percent slopes",300,Not prime farmland,NA
"Hocking County, Ohio",AdE,"Alexandria silt loam, 18 to 25 percent slopes",299,Not prime farmland,59
"Hocking County, Ohio",AfB,"Alford silt loam, 2 to 6 percent slopes",269,All areas are prime farmland,77
"Hocking County, Ohio",AgC,"Allegheny loam, 6 to 12 percent slopes",242,Farmland of local importance,68
"Hocking County, Ohio",GgD,"Gilpin-Guernsey complex, 15 to 25 percent slopes",240,Not prime farmland,51
"Hocking County, Ohio",AgB,"Allegheny loam, 2 to 6 percent slopes",235,All areas are prime farmland,72
"Hocking County, Ohio",Mel1AF,"Melvin silt loam, 0 to 2 percent slopes, frequently flooded",229,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,57
"Hocking County, Ohio",AdF,"Alexandria silt loam, 25 to 40 percent slopes",213,Not prime farmland,NA
"Hocking County, Ohio",SkP1AF,"Stokly-Philo silt loams, 0 to 3 percent slopes, frequently flooded",208,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,65
"Hocking County, Ohio",NeC,"Negley silt loam, 8 to 15 percent slopes",186,Farmland of local importance,59
"Hocking County, Ohio",BnC,"Berks-Tarhollow complex, 6 to 15 percent slopes",178,Not prime farmland,57
"Hocking County, Ohio",GkC,"Gilpin silt loam, 8 to 15 percent slopes",167,Not prime farmland,59
"Hocking County, Ohio",BeA,"Bennington silt loam, 0 to 3 percent slopes",157,Prime farmland if drained,69
"Hocking County, Ohio",GcE,"Germano sandy loam, 25 to 40 percent slopes",146,Not prime farmland,NA
"Hocking County, Ohio",Omu1D2,"Omulga silt loam, 12 to 18 percent slopes, eroded",137,Not prime farmland,51
"Hocking County, Ohio",BkE,"Berks-Westmoreland silt loams, 25 to 40 percent slopes",127,Not prime farmland,NA
"Hocking County, Ohio",ZvC2,"Zanesville silt loam, 6 to 15 percent slopes, eroded",124,Not prime farmland,62
"Hocking County, Ohio",ChC2,"Chili loam, 8 to 15 percent slopes, eroded",110,Farmland of local importance,59
"Hocking County, Ohio",BhPXF,"Bethesda-Pits, surface mine complex, 25 to 70 percent slopes, unreclaimed",104,Not prime farmland,NA
"Hocking County, Ohio",AbE,"Alexandria silt loam, 18 to 35 percent slopes",95,Not prime farmland,NA
"Hocking County, Ohio",Bhs4B,"Bethesda channery silt loam, 0 to 8 percent slopes, unreclaimed",83,Not prime farmland,33
"Hocking County, Ohio",Ls,"Lindside silt loam, 0 to 3 percent slopes, occasionally flooded",74,All areas are prime farmland,80
"Hocking County, Ohio",TaB,"Tarhollow silt loam, 2 to 6 percent slopes",72,All areas are prime farmland,69
"Hocking County, Ohio",Cp,"Clifty silt loam, occasionally flooded",71,All areas are prime farmland,72
"Hocking County, Ohio",WaA,"Wea silt loam, 0 to 2 percent slopes",65,All areas are prime farmland,81
"Hocking County, Ohio",HcD2,"Hickory-Gilpin complex, 12 to 20 percent slopes, eroded",62,Not prime farmland,57
"Hocking County, Ohio",Me,"Melvin silt loam, 0 to 3 percent slopes, frequently flooded",55,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,57
"Hocking County, Ohio",Nk,"Newark silt loam, occasionally flooded",52,Prime farmland if drained,74
"Hocking County, Ohio",HkE2,"Hickory silt loam, 20 to 35 percent slopes, eroded",46,Not prime farmland,NA
"Hocking County, Ohio",Bht1D,"Bethesda silt loam, 8 to 25 percent slopes, reclaimed, highwall",28,Not prime farmland,26
"Hocking County, Ohio",Wya3C2,"Wyatt silty clay loam, 6 to 12 percent slopes, eroded",28,Not prime farmland,55
"Hocking County, Ohio",Bhk4B,"Bethesda channery silt loam, 0 to 8 percent slopes, unreclaimed, highwall",24,Not prime farmland,33
"Hocking County, Ohio",BkD,"Berks-Westmoreland silt loams, 15 to 25 percent slopes",22,Not prime farmland,48
"Hocking County, Ohio",GwD,"Guernsey-Westmoreland silt loams, 15 to 25 percent slopes",22,Not prime farmland,56
"Hocking County, Ohio",GkD,"Gilpin silt loam, 15 to 25 percent slopes",19,Not prime farmland,51
"Hocking County, Ohio",NbC2,"Negley loam, 6 to 12 percent slopes, eroded",19,Not prime farmland,59
"Hocking County, Ohio",AcE2,"Alexandria silt loam, 20 to 35 percent slopes, eroded",13,Not prime farmland,NA
"Hocking County, Ohio",HrE,"Hickory-Germano complex, 20 to 35 percent slopes",13,Not prime farmland,NA
"Hocking County, Ohio",Wya1B1,"Wyatt silt loam, 2 to 6 percent slopes",13,All areas are prime farmland,63
"Hocking County, Ohio",Wya3D2,"Wyatt silty clay loam, 12 to 18 percent slopes, eroded",13,Not prime farmland,45
"Hocking County, Ohio",BrF,"Berks channery silt loam, 35 to 70 percent slopes",12,Not prime farmland,NA
"Hocking County, Ohio",WhC,"Westmoreland-Guernsey silt loams, 8 to 15 percent slopes",7,Not prime farmland,61
"Hocking County, Ohio",BhPXD,"Bethesda-Pits, surface mine complex, 8 to 25 percent slopes, unreclaimed",6,Not prime farmland,NA
"Hocking County, Ohio",Bht1B,"Bethesda silt loam, 0 to 8 percent slopes, reclaimed, highwall",6,Not prime farmland,34
"Hocking County, Ohio",JeB,"Jeneva silt loam, 2 to 6 percent slopes",6,All areas are prime farmland,75
"Hocking County, Ohio",Ud,Udorthents,6,Not prime farmland,NA
"Hocking County, Ohio",AaC,"Aaron silt loam, 6 to 15 percent slopes",5,Not prime farmland,67
"Hocking County, Ohio",RcD,"Richland loam, 15 to 25 percent slopes",5,Not prime farmland,56
"Hocking County, Ohio",BcA,"Bennington silt loam, 0 to 2 percent slopes",4,Prime farmland if drained,69
"Hocking County, Ohio",CbD2,"Cana silt loam, 12 to 20 percent slopes, eroded",4,Not prime farmland,61
"Hocking County, Ohio",WnB,"Westmore silt loam, 3 to 8 percent slopes",4,Farmland of local importance,75
"Hocking County, Ohio",DtF,"Dekalb-Westmoreland complex, 40 to 70 percent slopes",3,Not prime farmland,NA
"Hocking County, Ohio",OcA,"Ockley silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",3,All areas are prime farmland,77
"Hocking County, Ohio",RpC2,"Rossmoyne silt loam, 6 to 12 percent slopes, eroded",3,Not prime farmland,66
"Hocking County, Ohio",AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",2,Not prime farmland,67
"Hocking County, Ohio",AmD2,"Amanda silt loam, 12 to 20 percent slopes, eroded",2,Not prime farmland,61
"Hocking County, Ohio",DtD,"Dekalb-Westmoreland complex, 15 to 25 percent slopes",2,Not prime farmland,51
"Hocking County, Ohio",PkC2,"Pike silt loam, 6 to 12 percent slopes, eroded",2,Not prime farmland,65
"Hocking County, Ohio",AcC2,"Alexandria silt loam, 6 to 12 percent slopes, eroded",1,Not prime farmland,65
"Hocking County, Ohio",AoC3,"Amanda silty clay loam, 6 to 12 percent slopes, severely eroded",1,Not prime farmland,63
"Hocking County, Ohio",BcB,"Bennington silt loam, 2 to 6 percent slopes",1,Prime farmland if drained,66
"Hocking County, Ohio",BrD,"Berks channery silt loam, 12 to 20 percent slopes",1,Not prime farmland,45
"Hocking County, Ohio",CrB,"Crosby silt loam, 2 to 6 percent slopes",1,Prime farmland if drained,76
"Hocking County, Ohio",DtE,"Dekalb-Westmoreland complex, 25 to 40 percent slopes",1,Not prime farmland,NA
"Hocking County, Ohio",GnC2,"Glenford silt loam, 6 to 15 percent slopes, eroded",1,Not prime farmland,69
"Hocking County, Ohio",HmC2,"Hickory silt loam, 6 to 12 percent slopes, eroded",1,Not prime farmland,64
"Holmes County, Ohio",CtC2,"Coshocton silt loam, 6 to 15 percent slopes, eroded",26922,Farmland of local importance,65
"Holmes County, Ohio",CtD2,"Coshocton silt loam, 15 to 25 percent slopes, eroded",24440,Farmland of local importance,51
"Holmes County, Ohio",WsC2,"Wooster silt loam, 6 to 12 percent slopes, eroded",19640,Farmland of local importance,73
"Holmes County, Ohio",CdB,"Canfield silt loam, 2 to 6 percent slopes",13650,All areas are prime farmland,73
"Holmes County, Ohio",Or,"Orrville silt loam, 0 to 3 percent slopes, occasionally flooded",13585,Prime farmland if drained,72
"Holmes County, Ohio",WsD2,"Wooster silt loam, 12 to 18 percent slopes, eroded",12305,Farmland of local importance,66
"Holmes County, Ohio",WsB,"Wooster silt loam, 2 to 6 percent slopes",8690,All areas are prime farmland,79
"Holmes County, Ohio",BvE,"Brownsville channery silt loam, 25 to 35 percent slopes",7590,Not prime farmland,NA
"Holmes County, Ohio",CtB,"Coshocton silt loam, 2 to 6 percent slopes",7120,All areas are prime farmland,72
"Holmes County, Ohio",BvF,"Brownsville channery silt loam, 35 to 70 percent slopes",6985,Not prime farmland,NA
"Holmes County, Ohio",CnC2,"Chili loam, 6 to 12 percent slopes, eroded",5645,Farmland of local importance,59
"Holmes County, Ohio",CdC2,"Canfield silt loam, 6 to 12 percent slopes, eroded",4950,Farmland of local importance,63
"Holmes County, Ohio",BkE,"Berks silt loam, 25 to 35 percent slopes, very stony",4934,Not prime farmland,NA
"Holmes County, Ohio",BkF,"Berks silt loam, 35 to 70 percent slopes, very stony",4801,Not prime farmland,NA
"Holmes County, Ohio",AmE,"Amanda loam, 18 to 25 percent slopes",4555,Not prime farmland,55
"Holmes County, Ohio",Lo,"Lobdell silt loam, 0 to 3 percent slopes, occasionally flooded",4490,All areas are prime farmland,77
"Holmes County, Ohio",CvD,"Coshocton silt loam, 12 to 25 percent slopes, very stony",4345,Not prime farmland,NA
"Holmes County, Ohio",CnB,"Chili loam, 2 to 6 percent slopes",4050,All areas are prime farmland,67
"Holmes County, Ohio",BvD,"Brownsville channery silt loam, 15 to 25 percent slopes",3945,Not prime farmland,47
"Holmes County, Ohio",RgD,"Rigley sandy loam, 15 to 25 percent slopes",3680,Farmland of local importance,46
"Holmes County, Ohio",Tg,"Tioga loam, occasionally flooded",3520,All areas are prime farmland,72
"Holmes County, Ohio",WeD,"Westmoreland silt loam, 15 to 25 percent slopes",3507,Farmland of local importance,58
"Holmes County, Ohio",RgC,"Rigley sandy loam, 8 to 15 percent slopes",3505,Farmland of local importance,63
"Holmes County, Ohio",CnD2,"Chili loam, 12 to 18 percent slopes, eroded",3435,Farmland of local importance,54
"Holmes County, Ohio",Md,"Melvin silt loam, 0 to 3 percent slopes, frequently flooded",2970,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,57
"Holmes County, Ohio",HvF,"Hazleton loam, 25 to 70 percent slopes, very bouldery",2855,Not prime farmland,NA
"Holmes County, Ohio",CtE,"Coshocton silt loam, 25 to 35 percent slopes",2830,Not prime farmland,NA
"Holmes County, Ohio",FhB,"Fitchville silt loam, 2 to 6 percent slopes",2790,Prime farmland if drained,68
"Holmes County, Ohio",WtC2,"Wooster-Chili complex, 6 to 12 percent slopes, eroded",2665,Farmland of local importance,71
"Holmes County, Ohio",EuA,"Euclid silt loam, occasionally flooded",2650,Prime farmland if drained,76
"Holmes County, Ohio",WsC,"Wooster silt loam, 6 to 12 percent slopes",2400,Farmland of local importance,76
"Holmes County, Ohio",FhA,"Fitchville silt loam, 0 to 2 percent slopes",2395,Prime farmland if drained,70
"Holmes County, Ohio",FcC,"Farmerstown silt loam, 8 to 20 percent slopes",2390,Farmland of local importance,40
"Holmes County, Ohio",GnB,"Glenford silt loam, 2 to 6 percent slopes",2260,All areas are prime farmland,78
"Holmes County, Ohio",WtD2,"Wooster-Chili complex, 12 to 18 percent slopes, eroded",2185,Farmland of local importance,66
"Holmes County, Ohio",WgD2,"Westmoreland-Coshocton complex, 15 to 25 percent slopes, eroded",2045,Not prime farmland,60
"Holmes County, Ohio",GhC,"Gilpin silt loam, 8 to 15 percent slopes",2005,Farmland of local importance,59
"Holmes County, Ohio",WgC2,"Westmoreland-Coshocton complex, 8 to 15 percent slopes, eroded",1800,Farmland of local importance,65
"Holmes County, Ohio",BkD,"Berks silt loam, 15 to 25 percent slopes, very stony",1724,Not prime farmland,NA
"Holmes County, Ohio",CgB,"Centerburg silt loam, 2 to 6 percent slopes",1690,All areas are prime farmland,75
"Holmes County, Ohio",Mg,"Melvin silt loam, frequently ponded, 0 to 3 percent slopes",1600,Not prime farmland,NA
"Holmes County, Ohio",KeB,"Keene silt loam, 3 to 8 percent slopes",1415,Farmland of local importance,66
"Holmes County, Ohio",CoE,"Chili-Amanda complex, 18 to 25 percent slopes",1310,Not prime farmland,53
"Holmes County, Ohio",CdC,"Canfield silt loam, 6 to 12 percent slopes",1260,Farmland of local importance,67
"Holmes County, Ohio",AwC2,"Amanda-Wooster complex, 6 to 12 percent slopes, eroded",1240,Farmland of local importance,63
"Holmes County, Ohio",FcB,"Farmerstown silt loam, 0 to 8 percent slopes",1220,Farmland of local importance,50
"Holmes County, Ohio",Se,"Sebring silt loam, 0 to 2 percent slopes",1170,Prime farmland if drained,58
"Holmes County, Ohio",CnE,"Chili loam, 18 to 25 percent slopes",1080,Not prime farmland,42
"Holmes County, Ohio",W,Water,1052,Not prime farmland,NA
"Holmes County, Ohio",GhB,"Gilpin silt loam, 3 to 8 percent slopes",1025,All areas are prime farmland,63
"Holmes County, Ohio",Ly,"Luray silty clay loam, 0 to 2 percent slopes",1025,Prime farmland if drained,78
"Holmes County, Ohio",WeC2,"Westmoreland silt loam, 8 to 15 percent slopes",1005,Farmland of local importance,66
"Holmes County, Ohio",CnF,"Chili loam, 25 to 70 percent slopes",930,Not prime farmland,NA
"Holmes County, Ohio",CpB,"Cidermill silt loam, 2 to 6 percent slopes",925,All areas are prime farmland,73
"Holmes County, Ohio",RgB,"Rigley sandy loam, 3 to 8 percent slopes",900,All areas are prime farmland,67
"Holmes County, Ohio",ReB,"Ravenna silt loam, 2 to 6 percent slopes",870,Prime farmland if drained,60
"Holmes County, Ohio",Up,Udorthents-Pits complex,815,Not prime farmland,NA
"Holmes County, Ohio",Ud,"Udorthents, loamy",750,Not prime farmland,NA
"Holmes County, Ohio",GnC2,"Glenford silt loam, 6 to 12 percent slopes, eroded",715,Farmland of local importance,71
"Holmes County, Ohio",CnA,"Chili loam, 0 to 2 percent slopes",630,All areas are prime farmland,69
"Holmes County, Ohio",Ce,Carlisle muck,620,Not prime farmland,68
"Holmes County, Ohio",BtB,"Bogart silt loam, 2 to 6 percent slopes",575,All areas are prime farmland,71
"Holmes County, Ohio",WtB,"Wooster-Chili complex, 2 to 6 percent slopes",575,All areas are prime farmland,73
"Holmes County, Ohio",AwB,"Amanda-Wooster complex, 2 to 6 percent slopes",570,All areas are prime farmland,70
"Holmes County, Ohio",Bhv1B,"Bethesda silt loam, 0 to 8 percent slopes, reclaimed",570,Not prime farmland,34
"Holmes County, Ohio",HtE,"Hazleton loam, 25 to 40 percent slopes",570,Not prime farmland,NA
"Holmes County, Ohio",LvD,"Loudonville silt loam, 12 to 18 percent slopes",570,Farmland of local importance,55
"Holmes County, Ohio",AwD2,"Amanda-Wooster complex, 12 to 18 percent slopes, eroded",530,Not prime farmland,56
"Holmes County, Ohio",McD,"Mechanicsburg silt loam, 12 to 18 percent slopes",500,Farmland of local importance,60
"Holmes County, Ohio",CtD,"Coshocton silt loam, 15 to 25 percent slopes",493,Not prime farmland,54
"Holmes County, Ohio",CpA,"Cidermill silt loam, 0 to 2 percent slopes",485,All areas are prime farmland,76
"Holmes County, Ohio",LvC,"Loudonville silt loam, 6 to 12 percent slopes",485,Farmland of local importance,65
"Holmes County, Ohio",Bhv1D,"Bethesda silt loam, 8 to 25 percent slopes, reclaimed",473,Not prime farmland,26
"Holmes County, Ohio",Bhk4F,"Bethesda channery silt loam, 25 to 70 percent slopes, unreclaimed, highwall",460,Not prime farmland,NA
"Holmes County, Ohio",CgC2,"Centerburg silt loam, 6 to 12 percent slopes, eroded",380,Farmland of local importance,68
"Holmes County, Ohio",WeE,"Westmoreland silt loam, 25 to 35 percent slopes",325,Not prime farmland,NA
"Holmes County, Ohio",GnA,"Glenford silt loam, 0 to 2 percent slopes",295,All areas are prime farmland,81
"Holmes County, Ohio",McC,"Mechanicsburg silt loam, 6 to 12 percent slopes",295,Farmland of local importance,68
"Holmes County, Ohio",Bhs4D,"Bethesda channery silt loam, 8 to 25  percent slopes, unreclaimed",284,Not prime farmland,25
"Holmes County, Ohio",BtA,"Bogart silt loam, 0 to 2 percent slopes",260,All areas are prime farmland,74
"Holmes County, Ohio",ReA,"Ravenna silt loam, 0 to 2 percent slopes",255,Prime farmland if drained,62
"Holmes County, Ohio",FaC,"Fairpoint silt loam, 8 to 20 percent slopes",250,Farmland of local importance,34
"Holmes County, Ohio",ByF,"Brownsville-Rock outcrop complex, 35 to 70 percent slopes",235,Not prime farmland,NA
"Holmes County, Ohio",FaB,"Fairpoint silt loam, 0 to 8 percent slopes",225,Farmland of local importance,42
"Holmes County, Ohio",Bhk4D,"Bethesda channery silt loam, 8 to 25 percent slopes, unreclaimed, highwall",222,Not prime farmland,25
"Holmes County, Ohio",Bhs4F,"Bethesda channery silt loam, 25 to 70 percent slopes, unreclaimed",220,Not prime farmland,NA
"Holmes County, Ohio",CwD,"Coshocton-Guernsey silt loams, 15 to 25 percent slopes",187,Not prime farmland,52
"Holmes County, Ohio",RfC,"Rigley sandy loam, 6 to 15 percent slopes",178,Not prime farmland,65
"Holmes County, Ohio",HkF,"Hazleton channery sandy loam, 25 to 70 percent slopes, very bouldery",162,Not prime farmland,NA
"Holmes County, Ohio",Pg,"Pits, gravel",160,Not prime farmland,NA
"Holmes County, Ohio",CxD,"Coshocton-Guernsey silt loams, 15 to 25 percent slopes, very stony",151,Not prime farmland,NA
"Holmes County, Ohio",Bhs4B,"Bethesda channery silt loam, 0 to 8 percent slopes, unreclaimed",113,Not prime farmland,33
"Holmes County, Ohio",LvB,"Loudonville silt loam, 2 to 6 percent slopes",100,All areas are prime farmland,71
"Holmes County, Ohio",LvE,"Loudonville silt loam, 18 to 25 percent slopes",95,Not prime farmland,47
"Holmes County, Ohio",ScD,"Schaffenaker loamy sand, 12 to 25 percent slopes",85,Not prime farmland,13
"Holmes County, Ohio",Kk,"Killbuck silt loam, frequently flooded",80,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,63
"Holmes County, Ohio",WkD,"Westmoreland-Guernsey silt loams, 15 to 25 percent slopes",74,Not prime farmland,59
"Holmes County, Ohio",HtC,"Hazleton loam, 8 to 15 percent slopes",70,Not prime farmland,64
"Holmes County, Ohio",BhPXF,"Bethesda-Pits, surface mine complex, 25 to 70 percent slopes, unreclaimed",69,Not prime farmland,NA
"Holmes County, Ohio",BeF,"Berks silt loam, 25 to 70 percent slopes",63,Not prime farmland,NA
"Holmes County, Ohio",Pu,"Pits, quarry",55,Not prime farmland,NA
"Holmes County, Ohio",WdC,"Westmoreland silt loam, 6 to 15 percent slopes",44,Not prime farmland,66
"Holmes County, Ohio",CzD,"Coshocton-Westmoreland complex, 15 to 25 percent slopes",36,Not prime farmland,55
"Holmes County, Ohio",HtD,"Hazleton loam, 15 to 25 percent slopes",35,Not prime farmland,51
"Holmes County, Ohio",Tk,"Tioga fine sandy loam, occasionally flooded",35,All areas are prime farmland,68
"Holmes County, Ohio",WsE,"Wooster silt loam, 18 to 35 percent slopes",28,Not prime farmland,NA
"Holmes County, Ohio",HeE,"Hazleton channery loam, 25 to 35 percent slopes",24,Not prime farmland,NA
"Holmes County, Ohio",RfB,"Rigley sandy loam, 2 to 6 percent slopes",23,All areas are prime farmland,69
"Holmes County, Ohio",GeB,"Gilpin silt loam, 2 to 6 percent slopes",22,All areas are prime farmland,63
"Holmes County, Ohio",Bht1D,"Bethesda silt loam, 8 to 25 percent slopes, reclaimed, highwall",20,Not prime farmland,26
"Holmes County, Ohio",Bhv1F,"Bethesda silt loam, 25 to 70 percent slopes, reclaimed",19,Not prime farmland,NA
"Holmes County, Ohio",BzF,"Brownsville-Westmoreland complex, 25 to 40 percent slopes",19,Not prime farmland,NA
"Holmes County, Ohio",CkD,"Chili gravelly loam, 12 to 18 percent slopes",15,Not prime farmland,55
"Holmes County, Ohio",CwE,"Coshocton-Guernsey silt loams, 25 to 40 percent slopes",14,Not prime farmland,NA
"Holmes County, Ohio",HeC,"Hazleton channery loam, 8 to 15 percent slopes",10,Not prime farmland,62
"Holmes County, Ohio",Wa,Wallkill silt loam,9,Not prime farmland,70
"Holmes County, Ohio",CsD,"Chili-Wooster complex, 12 to 18 percent slopes",6,Not prime farmland,57
"Holmes County, Ohio",HeD,"Hazleton channery loam, 15 to 25 percent slopes",6,Not prime farmland,50
"Holmes County, Ohio",WkC,"Westmoreland-Guernsey silt loams, 8 to 15 percent slopes",6,Not prime farmland,61
"Holmes County, Ohio",BoB,"Bogart gravelly loam, 2 to 6 percent slopes",5,All areas are prime farmland,69
"Holmes County, Ohio",CrE,"Chili and Conotton gravelly loams, 18 to 35 percent slopes",5,Not prime farmland,NA
"Holmes County, Ohio",GeC,"Gilpin silt loam, 6 to 15 percent slopes",5,Not prime farmland,59
"Holmes County, Ohio",CrD,"Chili and Conotton gravelly loams, 12 to 18 percent slopes",4,Not prime farmland,51
"Holmes County, Ohio",CsC,"Chili-Wooster complex, 6 to 12 percent slopes",4,Not prime farmland,65
"Holmes County, Ohio",BzE,"Brownsville-Westmoreland complex, 18 to 25 percent slopes",3,Not prime farmland,52
"Holmes County, Ohio",CuD,"Coshocton silt loam, 15 to 25 percent slopes, very stony",3,Not prime farmland,NA
"Holmes County, Ohio",Bht1B,"Bethesda silt loam, 0 to 8 percent slopes, reclaimed, highwall",2,Not prime farmland,34
"Holmes County, Ohio",CdA,"Canfield silt loam, 0 to 2 percent slopes",2,All areas are prime farmland,75
"Holmes County, Ohio",CkC,"Chili gravelly loam, 6 to 12 percent slopes",2,Not prime farmland,60
"Holmes County, Ohio",CkE,"Chili gravelly loam, 18 to 25 percent slopes",1,Not prime farmland,43
"Holmes County, Ohio",CkF,"Chili gravelly loam, 25 to 70 percent slopes",1,Not prime farmland,NA
"Holmes County, Ohio",GpC,"Glenford silt loam, 6 to 15 percent slopes",1,Not prime farmland,71
"Holmes County, Ohio",McC2,"Mechanicsburg silt loam, 6 to 12 percent slopes, eroded",1,Not prime farmland,66
"Huron County, Ohio",BgA,"Bennington silt loam, 0 to 2 percent slopes",100995,Prime farmland if drained,69
"Huron County, Ohio",Crd1B1,"Cardington silt loam, 2 to 6 percent slopes",57355,All areas are prime farmland,69
"Huron County, Ohio",BgB,"Bennington silt loam, 2 to 6 percent slopes",20677,Prime farmland if drained,66
"Huron County, Ohio",Co,Condit silty clay loam,17941,Prime farmland if drained,59
"Huron County, Ohio",Pm,Pewamo silty clay loam,12662,Prime farmland if drained,84
"Huron County, Ohio",ChB,"Chili loam, loamy substratum, 2 to 6 percent slopes",8384,All areas are prime farmland,67
"Huron County, Ohio",Cen1B1,"Centerburg silt loam, 2 to 6 percent slopes",7707,All areas are prime farmland,75
"Huron County, Ohio",KbA,"Kibbie loam, 0 to 2 percent slopes",7313,Prime farmland if drained,85
"Huron County, Ohio",HkA,"Haskins loam, 0 to 3 percent slopes",6705,Prime farmland if drained,77
"Huron County, Ohio",Lo,"Lobdell silt loam, frequently flooded",6676,Prime farmland if protected from flooding or not frequently flooded during the growing season,66
"Huron County, Ohio",Tg,"Tioga loam, occasionally flooded",6460,All areas are prime farmland,72
"Huron County, Ohio",Crd1C2,"Cardington silt loam, 6 to 12 percent slopes, eroded",5303,Not prime farmland,62
"Huron County, Ohio",Cm,Colwood silt loam,4299,Prime farmland if drained,97
"Huron County, Ohio",Or,"Orrville silt loam, frequently flooded",4190,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,69
"Huron County, Ohio",Le,Lenawee silty clay loam,3492,Prime farmland if drained,85
"Huron County, Ohio",TuA,"Tuscola fine sandy loam, 0 to 2 percent slopes",3067,All areas are prime farmland,80
"Huron County, Ohio",TuB,"Tuscola fine sandy loam, 2 to 6 percent slopes",2679,All areas are prime farmland,77
"Huron County, Ohio",AcF,"Alexandria silt loam, 25 to 50 percent slopes",2532,Not prime farmland,NA
"Huron County, Ohio",OsB,"Oshtemo fine sandy loam, 2 to 6 percent slopes",2486,All areas are prime farmland,64
"Huron County, Ohio",Blg1A1,"Blount silt loam, ground moraine, 0 to 2 percent slopes",2315,Prime farmland if drained,78
"Huron County, Ohio",JtA,"Jimtown loam, 0 to 3 percent slopes",2297,Prime farmland if drained,66
"Huron County, Ohio",Ln,"Lobdell silt loam, rarely flooded",2135,All areas are prime farmland,77
"Huron County, Ohio",Fr,Fries silty clay loam,1754,Prime farmland if drained,66
"Huron County, Ohio",Mr,"Miner silty clay loam, 0 to 2 percent slopes",1702,Prime farmland if drained,69
"Huron County, Ohio",TrA,"Tiro silt loam, 0 to 2 percent slopes",1602,Prime farmland if drained,78
"Huron County, Ohio",AdD2,"Alexandria silty clay loam, 12 to 18 percent slopes, eroded",1573,Not prime farmland,59
"Huron County, Ohio",Lm,Linwood muck,1553,Farmland of unique importance,83
"Huron County, Ohio",Ho,"Holly silt loam, frequently flooded",1508,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,58
"Huron County, Ohio",Ce,"Carlisle muck, Central Ohio clayey till plain, drained, 0 to 2 percent slopes",1318,Farmland of unique importance,68
"Huron County, Ohio",SaF,"Saylesville silt loam, 25 to 40 percent slopes",1159,Not prime farmland,NA
"Huron County, Ohio",PkA,"Pewamo silty clay loam, 0 to 1 percent slopes",1076,Prime farmland if drained,84
"Huron County, Ohio",W,Water,985,Not prime farmland,NA
"Huron County, Ohio",Pa,Pandora silty clay loam,968,Prime farmland if drained,71
"Huron County, Ohio",Cf,"Carlisle muck, Central Ohio clayey till plain, 0 to 2 percent slopes",944,Not prime farmland,68
"Huron County, Ohio",ChC,"Chili loam, loamy substratum, 6 to 12 percent slopes",920,Not prime farmland,61
"Huron County, Ohio",SpB,"Spinks loamy fine sand, 2 to 6 percent slopes",901,Not prime farmland,55
"Huron County, Ohio",ScB,"Shinrock silt loam, 2 to 6 percent slopes",819,All areas are prime farmland,77
"Huron County, Ohio",PuA,"Prout silt loam, 0 to 2 percent slopes",779,Prime farmland if drained,63
"Huron County, Ohio",Ble1A1,"Blount silt loam, end moraine, 0 to 2 percent slopes",645,Prime farmland if drained,78
"Huron County, Ohio",Ble1B1,"Blount silt loam, end moraine, 2 to 4 percent slopes",626,Prime farmland if drained,75
"Huron County, Ohio",Blg1B1,"Blount silt loam, ground moraine, 2 to 4 percent slopes",622,Prime farmland if drained,75
"Huron County, Ohio",FpA,"Fries silty clay loam, 0 to 1 percent slopes",594,Prime farmland if drained,66
"Huron County, Ohio",Lf,Lenawee variant silty clay loam,589,Prime farmland if drained,60
