"areaname"|"mukey"|"musym"|"muname"|"mapunit_acres"|"survey_acres"
"Wyandot County, Ohio"|169602|"Ck"|"Carlisle muck, Central Ohio clayey till plain, drained, 0 to 2 percent slopes"|352|260812
"Wyandot County, Ohio"|169603|"Cm"|"Chagrin silt loam, rarely flooded"|871|260812
"Wyandot County, Ohio"|1542622|"CnA"|"Chili loam, 0 to 2 percent slopes"|6|260812
"Wyandot County, Ohio"|1542623|"CnB"|"Chili loam, 2 to 6 percent slopes"|35|260812
"Wyandot County, Ohio"|1542624|"CnC2"|"Chili loam, 6 to 12 percent slopes, moderately eroded"|3|260812
"Wyandot County, Ohio"|169604|"Co"|"Colwood silt loam"|1782|260812
"Wyandot County, Ohio"|1542621|"Crd1B1"|"Cardington silt loam, 2 to 6 percent slopes"|3|260812
"Wyandot County, Ohio"|169599|"Crd1B2"|"Cardington silt loam, 2 to 6 percent slopes, eroded"|1473|260812
"Wyandot County, Ohio"|169600|"Crd1C2"|"Cardington silt loam, 6 to 12 percent slopes, eroded"|1746|260812
"Wyandot County, Ohio"|169605|"DeA"|"Del Rey silt loam, 0 to 2 percent slopes"|9129|260812
"Wyandot County, Ohio"|169606|"DeB"|"Del Rey silt loam, 2 to 6 percent slopes"|2990|260812
"Wyandot County, Ohio"|1542646|"DfA"|"Del Rey silt loam, 0 to 3 percent slopes"|11|260812
"Wyandot County, Ohio"|169607|"DgA"|"Digby loam, 0 to 3 percent slopes"|330|260812
"Wyandot County, Ohio"|169608|"EtA"|"Elliott silt loam, 0 to 3 percent slopes"|2380|260812
"Wyandot County, Ohio"|169609|"FcA"|"Fitchville silt loam, 0 to 2 percent slopes"|2119|260812
"Wyandot County, Ohio"|169610|"FcB"|"Fitchville silt loam, 2 to 6 percent slopes"|922|260812
"Wyandot County, Ohio"|169611|"FuA"|"Fulton silty clay loam, 0 to 2 percent slopes"|3905|260812
"Wyandot County, Ohio"|1542651|"GaB"|"Gallman loam, 2 to 6 percent slopes"|40|260812
"Wyandot County, Ohio"|169612|"Ge"|"Genesee silt loam, occasionally flooded"|4153|260812
"Wyandot County, Ohio"|169613|"GfB"|"Glenford silt loam, 2 to 6 percent slopes"|2188|260812
"Wyandot County, Ohio"|1542636|"GmA"|"Glynwood loam, limestone substratum, 0 to 2 percent slopes"|16|260812
"Wyandot County, Ohio"|2569689|"Gwd5C2"|"Glynwood clay loam, 6 to 12 percent slopes, eroded"|2271|260812
"Wyandot County, Ohio"|2856697|"Gwe1B1"|"Glynwood silt loam, end moraine, 2 to 6 percent slopes"|905|260812
"Wyandot County, Ohio"|2856726|"Gwe1B2"|"Glynwood silt loam, end moraine, 2 to 6 percent slopes, eroded"|3215|260812
"Wyandot County, Ohio"|2856698|"Gwg1B1"|"Glynwood silt loam, ground moraine, 2 to 6 percent slopes"|1277|260812
"Wyandot County, Ohio"|2856727|"Gwg1B2"|"Glynwood silt loam, ground moraine, 2 to 6 percent slopes, eroded"|5415|260812
"Wyandot County, Ohio"|1542637|"Gwg5B2"|"Glynwood clay loam, ground moraine, 2 to 6 percent slopes, eroded"|190|260812
"Wyandot County, Ohio"|2569690|"Gwg5C2"|"Glynwood clay loam, ground moraine, 6 to 12 percent slopes, eroded"|5812|260812
"Wyandot County, Ohio"|169617|"HaA"|"Haney loam, 0 to 2 percent slopes"|904|260812
"Wyandot County, Ohio"|169618|"HaB"|"Haney loam, 2 to 6 percent slopes"|946|260812
"Wyandot County, Ohio"|1542653|"HaC2"|"Haney loam, 6 to 12 percent slopes, eroded"|6|260812
"Wyandot County, Ohio"|169619|"HkA"|"Haskins loam, 0 to 2 percent slopes"|996|260812
"Wyandot County, Ohio"|169620|"HkB"|"Haskins loam, 2 to 6 percent slopes"|543|260812
"Wyandot County, Ohio"|1542626|"HpE"|"Hennepin-Alexandria silt loams, 18 to 50 percent slopes"|1|260812
"Wyandot County, Ohio"|1542638|"HrB"|"Houcktown loam, 2 to 6 percent slopes"|1|260812
"Wyandot County, Ohio"|1542627|"JtA"|"Jimtown loam, 0 to 2 percent slopes"|8|260812
"Wyandot County, Ohio"|169621|"KbA"|"Kibbie fine sandy loam, till substratum, 0 to 2 percent slopes"|902|260812
"Wyandot County, Ohio"|169622|"KbB"|"Kibbie fine sandy loam, till substratum, 2 to 6 percent slopes"|347|260812
"Wyandot County, Ohio"|169623|"KcA"|"Kibbie-Blount complex, 0 to 2 percent slopes"|2516|260812
"Wyandot County, Ohio"|169624|"KcB"|"Kibbie-Blount complex, 2 to 6 percent slopes"|2186|260812
"Wyandot County, Ohio"|1542628|"KdB"|"Kibbie-Bennington complex, 2 to 6 percent slopes"|5|260812
"Wyandot County, Ohio"|1542647|"KeB"|"Kendallville loam, 2 to 6 percent slopes"|5|260812
"Wyandot County, Ohio"|169625|"Lb"|"Latty silty clay loam"|2656|260812
"Wyandot County, Ohio"|169626|"Lc"|"Latty silty clay"|4879|260812
"Wyandot County, Ohio"|1542654|"Le"|"Lenawee silty clay loam"|733|260812
"Wyandot County, Ohio"|169627|"Lk"|"Lindside silt loam, occasionally flooded"|2341|260812
"Wyandot County, Ohio"|1542655|"Lm"|"Linwood muck"|45|260812
"Wyandot County, Ohio"|169628|"Lu"|"Luray silty clay loam"|3060|260812
"Wyandot County, Ohio"|169629|"LyA"|"Lykens silt loam, 0 to 2 percent slopes"|617|260812
"Wyandot County, Ohio"|169630|"LyB"|"Lykens silt loam, 2 to 6 percent slopes"|6|260812
"Wyandot County, Ohio"|169631|"LzB"|"Lykens-Milton silt loams, 2 to 6 percent slopes"|2253|260812
"Wyandot County, Ohio"|169632|"MaB"|"Martinsville fine sandy loam, 2 to 6 percent slopes"|591|260812
"Wyandot County, Ohio"|1542629|"Mb"|"Marengo silty clay loam"|4|260812
"Wyandot County, Ohio"|169633|"Md"|"Medway silt loam, rarely flooded"|1396|260812
"Wyandot County, Ohio"|169634|"Mf"|"Mermill loam"|540|260812
"Wyandot County, Ohio"|169635|"Mg"|"Mermill silty clay loam"|486|260812
"Wyandot County, Ohio"|169636|"Mh"|"Milford silty clay loam"|12352|260812
"Wyandot County, Ohio"|1542656|"Mj"|"Millgrove loam"|2|260812
"Wyandot County, Ohio"|169637|"Mk"|"Millgrove silt loam"|707|260812
"Wyandot County, Ohio"|169638|"Mm"|"Millsdale silty clay loam"|317|260812
"Wyandot County, Ohio"|1542639|"MnA"|"Millsdale silty clay loam, 0 to 1 percent slopes"|42|260812
"Wyandot County, Ohio"|169639|"MoA"|"Milton silt loam, 0 to 2 percent slopes"|508|260812
"Wyandot County, Ohio"|169640|"MoB"|"Milton silt loam, 2 to 6 percent slopes"|744|260812
"Wyandot County, Ohio"|1542640|"MpA"|"Morley loam, limestone substratum, 0 to 2 percent slopes"|56|260812
"Wyandot County, Ohio"|169642|"MrD2"|"Morley silt loam, 12 to 18 percent slopes, eroded"|2643|260812
"Wyandot County, Ohio"|169643|"MrF2"|"Morley silt loam, 18 to 50 percent slopes, eroded"|2472|260812
"Wyandot County, Ohio"|1542661|"MsB"|"Morley-Milton silt loams, 2 to 6 percent slopes"|89|260812
"Wyandot County, Ohio"|1542641|"MtB"|"Morley, limestone substratum-Milton complex, 2 to 6 percent slopes"|13|260812
"Wyandot County, Ohio"|169644|"NpB"|"Nappanee silt loam, 2 to 6 percent slopes"|1858|260812
"Wyandot County, Ohio"|169645|"NtA"|"Nappanee silty clay loam, 0 to 2 percent slopes"|871|260812
"Wyandot County, Ohio"|169646|"NtB2"|"Nappanee silty clay loam, 2 to 6 percent slopes, eroded"|594|260812
"Wyandot County, Ohio"|169647|"NtC2"|"Nappanee silty clay loam, 6 to 12 percent slopes, eroded"|327|260812
"Wyandot County, Ohio"|1542648|"Nw"|"Newark silt loam, occasionally flooded"|122|260812
"Wyandot County, Ohio"|1542662|"OcB"|"Ockley loam, 2 to 6 percent slopes"|33|260812
"Wyandot County, Ohio"|169648|"On"|"Olentangy mucky silt loam"|903|260812
"Wyandot County, Ohio"|1542657|"OrB"|"Oshtemo sandy loam, 2 to 6 percent slopes"|165|260812
"Wyandot County, Ohio"|169649|"OsB"|"Oshtemo fine sandy loam, 1 to 6 percent slopes"|798|260812
"Wyandot County, Ohio"|169650|"OsC2"|"Oshtemo fine sandy loam, 6 to 18 percent slopes, eroded"|864|260812
"Wyandot County, Ohio"|169651|"OsE"|"Oshtemo fine sandy loam, 18 to 35 percent slopes"|200|260812
"Wyandot County, Ohio"|169652|"Pa"|"Pandora silty clay loam"|14522|260812
"Wyandot County, Ohio"|169653|"Pd"|"Paulding clay"|5805|260812
"Wyandot County, Ohio"|2903474|"PkA"|"Pewamo silty clay loam, 0 to 1 percent slopes"|29432|260812
"Wyandot County, Ohio"|169655|"Ps"|"Pits, gravel"|216|260812
"Wyandot County, Ohio"|169656|"Pu"|"Pits, quarry"|252|260812
"Wyandot County, Ohio"|169657|"RaA"|"Randolph silt loam, 0 to 3 percent slopes"|529|260812
"Wyandot County, Ohio"|1542658|"RbA"|"Randolph silt loam, 0 to 2 percent slopes"|4|260812
"Wyandot County, Ohio"|169658|"RhB"|"Ritchey silt loam, 1 to 6 percent slopes"|2095|260812
"Wyandot County, Ohio"|169659|"RhC"|"Ritchey silt loam, 6 to 12 percent slopes"|202|260812
"Wyandot County, Ohio"|1542649|"SeB"|"Shinrock silt loam, 2 to 6 percent slopes"|19|260812
"Wyandot County, Ohio"|169660|"SeB2"|"Shinrock silt loam, 2 to 6 percent slopes, eroded"|2301|260812
"Wyandot County, Ohio"|169661|"SeC2"|"Shinrock silt loam, 6 to 12 percent slopes, eroded"|732|260812
"Wyandot County, Ohio"|169662|"SfC2"|"Shinrock-Martinsville complex, 6 to 12 percent slopes, eroded"|1638|260812
"Wyandot County, Ohio"|169663|"SfD2"|"Shinrock-Martinsville complex, 12 to 18 percent slopes, eroded"|246|260812
"Wyandot County, Ohio"|169664|"Sg"|"Shoals silt loam, rarely flooded"|802|260812
"Wyandot County, Ohio"|169665|"Sh"|"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded"|4799|260812
"Wyandot County, Ohio"|1542659|"Sk"|"Shoals silt loam, 0 to 2 percent slopes, frequently flooded"|80|260812
"Wyandot County, Ohio"|169666|"So"|"Sloan silt loam, occasionally flooded"|2591|260812
"Wyandot County, Ohio"|1542643|"SpA"|"Sloan silty clay loam, 0 to 1 percent slopes, occasionally flooded"|495|260812
"Wyandot County, Ohio"|169667|"TrA"|"Tiro silt loam, 0 to 2 percent slopes"|7924|260812
"Wyandot County, Ohio"|169668|"TrB"|"Tiro silt loam, 2 to 6 percent slopes"|2618|260812
"Wyandot County, Ohio"|169669|"TuB"|"Tuscola fine sandy loam, 2 to 6 percent slopes"|2311|260812
"Wyandot County, Ohio"|169670|"Ud"|"Udorthents, loamy"|974|260812
"Wyandot County, Ohio"|169671|"Ur"|"Urban land-Udorthents complex"|579|260812
"Wyandot County, Ohio"|169672|"W"|"Water"|741|260812
"Wyandot County, Ohio"|1542650|"We"|"Westland clay loam"|13|260812
"Wyandot County, Ohio"|1542644|"WfA"|"Westland-Rensselaer complex, 0 to 1 percent slopes"|88|260812
"Wyandot County, Ohio"|1542630|"WmB"|"Wilmer Variant silt loam, 2 to 6 percent slopes"|11|260812
"Paulding County, Ohio"|244547|"BeB"|"Belmore loam, till substratum, 2 to 6 percent slopes"|81|268160
"Paulding County, Ohio"|244548|"BkA"|"Bixler loamy sand, clayey substratum, 0 to 2 percent slopes"|662|268160
"Paulding County, Ohio"|244549|"BrB2"|"Broughton silty clay loam, 2 to 6 percent slopes, eroded"|203|268160
"Paulding County, Ohio"|244550|"BrC2"|"Broughton silty clay loam, 6 to 12 percent slopes, eroded"|246|268160
"Paulding County, Ohio"|244551|"BrD2"|"Broughton silty clay loam, 12 to 18 percent slopes, eroded"|654|268160
"Paulding County, Ohio"|244552|"BrE2"|"Broughton silty clay loam, 18 to 35 percent slopes, eroded"|665|268160
"Paulding County, Ohio"|244553|"BsC3"|"Broughton silty clay, 6 to 12 percent slopes, severely eroded"|665|268160
"Paulding County, Ohio"|244554|"BsD3"|"Broughton silty clay, 12 to 18 percent slopes, severely eroded"|578|268160
"Paulding County, Ohio"|244555|"Db"|"Defiance silty clay loam, occasionally flooded"|1065|268160
"Paulding County, Ohio"|244556|"Dc"|"Defiance silty clay loam, frequently flooded"|694|268160
"Paulding County, Ohio"|244559|"Fb"|"Flatrock silt loam, occasionally flooded"|993|268160
"Paulding County, Ohio"|244560|"Fc"|"Flatrock silt loam, frequently flooded"|678|268160
"Paulding County, Ohio"|244561|"FtA"|"Fulton loam, 0 to 2 percent slopes"|1233|268160
"Paulding County, Ohio"|244562|"FuA"|"Fulton silty clay loam, 0 to 2 percent slopes"|1469|268160
"Paulding County, Ohio"|244563|"FuB2"|"Fulton silty clay loam, 2 to 6 percent slopes, eroded"|221|268160
"Paulding County, Ohio"|244564|"FxA"|"Fulton silty clay loam, loamy substratum, 0 to 2 percent slopes"|1556|268160
"Paulding County, Ohio"|244565|"FxB"|"Fulton silty clay loam, loamy substratum, 2 to 6 percent slopes"|227|268160
"Paulding County, Ohio"|244567|"Gr"|"Granby loamy sand, clayey substratum"|256|268160
"Paulding County, Ohio"|244568|"HaA"|"Haskins loamy sand, 0 to 2 percent slopes"|1803|268160
"Paulding County, Ohio"|244569|"HkA"|"Haskins loam, 0 to 2 percent slopes"|1321|268160
"Paulding County, Ohio"|244570|"HkB"|"Haskins loam, 2 to 6 percent slopes"|156|268160
"Paulding County, Ohio"|244573|"Kn"|"Knoxdale silt loam, occasionally flooded"|610|268160
"Paulding County, Ohio"|244574|"La"|"Landes loam, occasionally flooded"|220|268160
"Paulding County, Ohio"|244575|"Lb"|"Latty silty clay loam"|2809|268160
"Paulding County, Ohio"|244577|"LtA"|"Lucas silt loam, loamy substratum, 0 to 2 percent slopes"|630|268160
"Paulding County, Ohio"|244578|"LuB2"|"Lucas silty clay loam, loamy substratum, 2 to 6 percent slopes, eroded"|387|268160
"Paulding County, Ohio"|244579|"LuC2"|"Lucas silty clay loam, loamy substratum, 6 to 12 percent slopes, eroded"|225|268160
"Paulding County, Ohio"|244580|"Md"|"Medway silt loam, occasionally flooded"|665|268160
"Paulding County, Ohio"|244581|"Me"|"Mermill loam"|1024|268160
"Paulding County, Ohio"|244582|"Mg"|"Millgrove loam, till substratum"|66|268160
"Paulding County, Ohio"|244583|"NnA"|"Nappanee loam, 0 to 2 percent slopes"|3698|268160
"Paulding County, Ohio"|244584|"NpA"|"Nappanee silty clay loam, 0 to 2 percent slopes"|17199|268160
"Paulding County, Ohio"|244585|"NpB"|"Nappanee silty clay loam, 2 to 6 percent slopes"|642|268160
"Paulding County, Ohio"|244586|"NpB2"|"Nappanee silty clay loam, 2 to 6 percent slopes, eroded"|1373|268160
"Paulding County, Ohio"|244587|"OsB"|"Oshtemo sandy loam, till substratum, 2 to 6 percent slopes"|80|268160
"Paulding County, Ohio"|244588|"OtB"|"Ottokee loamy sand, 0 to 6 percent slopes"|185|268160
"Paulding County, Ohio"|244590|"Pt"|"Pits, quarry"|392|268160
"Paulding County, Ohio"|244591|"RkA"|"Rimer loamy sand, 0 to 2 percent slopes"|897|268160
"Paulding County, Ohio"|244592|"RkB"|"Rimer loamy sand, 2 to 6 percent slopes"|262|268160
"Paulding County, Ohio"|244593|"RmA"|"Rimer-Fulton complex, 0 to 2 percent slopes"|603|268160
"Paulding County, Ohio"|244594|"RnA"|"Roselms loam, 0 to 2 percent slopes"|1001|268160
"Paulding County, Ohio"|244595|"RoA"|"Roselms silty clay loam, 0 to 2 percent slopes"|13088|268160
"Paulding County, Ohio"|244596|"RoB"|"Roselms silty clay loam, 2 to 6 percent slopes"|731|268160
"Paulding County, Ohio"|244597|"RpA"|"Roselms silty clay, 0 to 2 percent slopes"|3574|268160
"Paulding County, Ohio"|244598|"RpB2"|"Roselms silty clay, 2 to 6 percent slopes, eroded"|957|268160
"Paulding County, Ohio"|244599|"Rt"|"Rossburg silt loam, occasionally flooded"|1111|268160
"Paulding County, Ohio"|244600|"Sb"|"Saranac silty clay loam, occasionally flooded"|4117|268160
"Paulding County, Ohio"|244601|"Sh"|"Shoals silt loam, occasionally flooded"|778|268160
"Paulding County, Ohio"|244602|"Sk"|"Shoals silt loam, frequently flooded"|226|268160
"Paulding County, Ohio"|244603|"StB2"|"St. Clair silty clay loam, 2 to 6 percent slopes, eroded"|184|268160
"Paulding County, Ohio"|244604|"StC2"|"St. Clair silty clay loam, 6 to 12 percent slopes, eroded"|452|268160
"Paulding County, Ohio"|244605|"StD2"|"St. Clair silty clay loam, 12 to 18 percent slopes, eroded"|415|268160
"Paulding County, Ohio"|244606|"StE2"|"St. Clair silty clay loam, 18 to 35 percent slopes, eroded"|715|268160
"Paulding County, Ohio"|244607|"SuC3"|"St. Clair silty clay, 6 to 12 percent slopes, severely eroded"|324|268160
"Paulding County, Ohio"|244609|"SuE3"|"St. Clair silty clay, 12 to 25 percent slopes, severely eroded"|422|268160
"Paulding County, Ohio"|244610|"TeA"|"Tedrow loamy sand, 0 to 3 percent slopes"|310|268160
"Paulding County, Ohio"|244611|"Tn"|"Toledo silty clay loam"|3213|268160
"Paulding County, Ohio"|244613|"Uc"|"Udorthents, clayey, hilly"|1207|268160
"Paulding County, Ohio"|244614|"W"|"Water"|2328|268160
"Paulding County, Ohio"|244615|"Wb"|"Wabasha silty clay loam, frequently flooded"|3175|268160
"Paulding County, Ohio"|244616|"WhA"|"Whitaker loam, 0 to 2 percent slopes"|7|268160
"Paulding County, Ohio"|244589|"Pc"|"Paulding clay, 0 to 1 percent slopes"|69741|268160
"Paulding County, Ohio"|244612|"To"|"Toledo silty clay, 0 to 1 percent slopes"|3691|268160
"Paulding County, Ohio"|244576|"Lc"|"Latty silty clay, till substratum, 0 to 1 percent slopes"|62040|268160
"Paulding County, Ohio"|244571|"HcA"|"Hoytville silty clay loam, 0 to 1 percent slopes"|6470|268160
"Paulding County, Ohio"|244572|"HtA"|"Hoytville silty clay, 0 to 1 percent slopes"|40490|268160
"Ashland County, Ohio"|1592603|"AdC2"|"Alexandria silt loam, 6 to 12 percent slopes, moderately eroded"|1|272864
"Ashland County, Ohio"|288124|"AdD2"|"Alexandria silt loam, 12 to 18 percent slopes, eroded"|1272|272864
"Ashland County, Ohio"|288125|"AdE"|"Alexandria silt loam, 18 to 25 percent slopes"|520|272864
"Ashland County, Ohio"|288126|"AdF"|"Alexandria silt loam, 25 to 50 percent slopes"|1295|272864
"Ashland County, Ohio"|1592618|"AeD2"|"Alexandria silty clay loam, 12 to 18 percent slopes, eroded"|7|272864
"Ashland County, Ohio"|288127|"Ag"|"Algiers silt loam"|1122|272864
"Ashland County, Ohio"|1592626|"AmE"|"Amanda loam, 18 to 25 percent slopes"|52|272864
"Ashland County, Ohio"|1592647|"BgB"|"Bogart loam, 2 to 6 percent slopes"|9|272864
"Ashland County, Ohio"|288128|"BnA"|"Bennington silt loam, 0 to 2 percent slopes"|11530|272864
"Ashland County, Ohio"|288129|"BnB"|"Bennington silt loam, 2 to 6 percent slopes"|24385|272864
"Ashland County, Ohio"|1592604|"BnB2"|"Bennington silt loam, 2 to 6 percent slopes, moderately eroded"|2|272864
"Ashland County, Ohio"|1592642|"BoA"|"Bennington-Tiro silt loams, 0 to 2 percent slopes"|56|272864
"Ashland County, Ohio"|288131|"BrD"|"Berks channery silt loam, 12 to 18 percent slopes"|385|272864
"Ashland County, Ohio"|288132|"BsG"|"Berks-Rock outcrop complex, 30 to 60 percent slopes"|1952|272864
"Ashland County, Ohio"|288133|"BtA"|"Bogart gravelly loam, 0 to 2 percent slopes"|563|272864
"Ashland County, Ohio"|288134|"BtB"|"Bogart gravelly loam, 2 to 6 percent slopes"|1233|272864
"Ashland County, Ohio"|288130|"BvA"|"Bogart silt loam, 0 to 2 percent slopes"|844|272864
"Ashland County, Ohio"|288135|"BvB"|"Bogart silt loam, 2 to 6 percent slopes"|2118|272864
"Ashland County, Ohio"|1592629|"BxF"|"Brownsville-Rock outcrop complex, 35 to 70 percent slopes"|115|272864
"Ashland County, Ohio"|1592627|"ByD"|"Brownsville channery silt loam, 15 to 25 percent slopes"|100|272864
"Ashland County, Ohio"|1592628|"ByE"|"Brownsville channery silt loam, 25 to 35 percent slopes"|149|272864
"Ashland County, Ohio"|1592656|"BzE"|"Brownsville-Westmoreland complex, 18 to 25 percent slopes"|203|272864
"Ashland County, Ohio"|1592657|"BzF"|"Brownsville-Westmoreland complex, 25 to 40 percent slopes"|1|272864
"Ashland County, Ohio"|288136|"CaB"|"Canfield silt loam, 2 to 6 percent slopes"|21009|272864
"Ashland County, Ohio"|288137|"CaC"|"Canfield silt loam, 6 to 12 percent slopes"|1467|272864
"Ashland County, Ohio"|288138|"CaC2"|"Canfield silt loam, 6 to 12 percent slopes, eroded"|1107|272864
"Ashland County, Ohio"|288143|"CeC3"|"Cardington silty clay loam, 6 to 12 percent slopes, severely eroded"|277|272864
"Ashland County, Ohio"|288139|"Cen1B1"|"Centerburg silt loam, 2 to 6 percent slopes"|14045|272864
"Ashland County, Ohio"|288140|"Cen1B2"|"Centerburg silt loam, 2 to 6 percent slopes, eroded"|8543|272864
"Ashland County, Ohio"|288141|"Cen1C1"|"Centerburg silt loam, 6 to 12 percent slopes"|2630|272864
"Ashland County, Ohio"|288142|"Cen1C2"|"Centerburg silt loam, 6 to 12 percent slopes, eroded"|3227|272864
"Ashland County, Ohio"|288144|"Cf"|"Carlisle muck"|607|272864
"Ashland County, Ohio"|1592648|"CgA"|"Chili loam, 0 to 2 percent slopes"|23|272864
"Ashland County, Ohio"|288145|"CgB"|"Chili loam, 2 to 6 percent slopes"|5615|272864
"Ashland County, Ohio"|288146|"CgC"|"Chili loam, 6 to 12 percent slopes"|2761|272864
"Ashland County, Ohio"|1592631|"CgC2"|"Chili loam, 6 to 12 percent slopes, eroded"|14|272864
"Ashland County, Ohio"|1592632|"CgD2"|"Chili loam, 12 to 18 percent slopes, eroded"|22|272864
"Ashland County, Ohio"|288147|"ChC"|"Chili-Wooster complex, 6 to 12 percent slopes"|2889|272864
"Ashland County, Ohio"|288148|"ChD"|"Chili-Wooster complex, 12 to 18 percent slopes"|2087|272864
"Ashland County, Ohio"|288149|"ChE"|"Chili-Wooster complex, 18 to 25 percent slopes"|781|272864
"Ashland County, Ohio"|288150|"CkD"|"Chili and Conotton gravelly loams, 12 to 18 percent slopes"|2447|272864
"Ashland County, Ohio"|288151|"CkE"|"Chili and Conotton gravelly loams, 18 to 35 percent slopes"|1096|272864
"Ashland County, Ohio"|1592658|"ClC"|"Chili gravelly loam, 6 to 12 percent slopes"|12|272864
"Ashland County, Ohio"|1592649|"ClD2"|"Chili gravelly loam, 12 to 25 percent slopes, eroded"|22|272864
"Ashland County, Ohio"|1592634|"CmA"|"Cidermill silt loam, 0 to 2 percent slopes"|17|272864
"Ashland County, Ohio"|1592635|"CmB"|"Cidermill silt loam, 2 to 6 percent slopes"|35|272864
"Ashland County, Ohio"|1592619|"Cn"|"Condit silty clay loam"|7|272864
"Ashland County, Ohio"|1592605|"CoD"|"Chili and Conotton soils, 12 to 18 percent slopes"|16|272864
"Ashland County, Ohio"|1592606|"CoE"|"Chili and Conotton soils, 18 to 25 percent slopes"|12|272864
"Ashland County, Ohio"|1592659|"CpB"|"Chili silt loam, 2 to 6 percent slopes"|8|272864
"Ashland County, Ohio"|288152|"Cr"|"Condit silt loam, 0 to 1 percent slopes"|5298|272864
"Ashland County, Ohio"|2996488|"Crd1B1"|"Cardington silt loam, 2 to 6 percent slopes"|2|272864
"Ashland County, Ohio"|1592607|"CsC"|"Conotton gravelly loam, 2 to 12 percent slopes"|1|272864
"Ashland County, Ohio"|288153|"CtD"|"Conotton Variant gravelly loam, 10 to 20 percent slopes"|819|272864
"Ashland County, Ohio"|1592633|"CuE"|"Chili-Amanda complex, 18 to 25 percent slopes"|14|272864
"Ashland County, Ohio"|288154|"CvB"|"Coshocton loam, 2 to 6 percent slopes"|172|272864
"Ashland County, Ohio"|288155|"CvC"|"Coshocton loam, 6 to 15 percent slopes"|355|272864
"Ashland County, Ohio"|1592636|"CxB"|"Coshocton silt loam, 2 to 6 percent slopes"|13|272864
"Ashland County, Ohio"|1592637|"CxC2"|"Coshocton silt loam, 6 to 15 percent slopes, eroded"|3|272864
"Ashland County, Ohio"|1592644|"ElB"|"Ellsworth silt loam, 2 to 6 percent slopes"|90|272864
"Ashland County, Ohio"|288156|"ElB2"|"Ellsworth silt loam, 2 to 6 percent slopes, eroded"|2332|272864
"Ashland County, Ohio"|288157|"ElC2"|"Ellsworth silt loam, 6 to 12 percent slopes, eroded"|675|272864
"Ashland County, Ohio"|288158|"ElE2"|"Ellsworth silt loam, 12 to 25 percent slopes, eroded"|226|272864
"Ashland County, Ohio"|1592645|"ElF"|"Ellsworth silt loam, 25 to 70 percent slopes"|2|272864
"Ashland County, Ohio"|1592608|"FbA"|"Fitchville silt loam, 0 to 2 percent slopes"|77|272864
"Ashland County, Ohio"|1592609|"FbB"|"Fitchville silt loam, 2 to 6 percent slopes"|6|272864
"Ashland County, Ohio"|288159|"FcA"|"Fitchville silt loam, 1 to 4 percent slopes"|2327|272864
"Ashland County, Ohio"|1592776|"FgA"|"Fitchville silt loam, gravelly subsoil, 0 to 2 percent slopes"|1|272864
"Ashland County, Ohio"|1592611|"Fr"|"Frenchtown silt loam, 0 to 2 percent slopes"|3|272864
"Ashland County, Ohio"|1592660|"GaB"|"Gilpin silt loam, 3 to 8 percent slopes"|95|272864
"Ashland County, Ohio"|1592661|"GaC"|"Gilpin silt loam, 6 to 12 percent slopes"|8|272864
"Ashland County, Ohio"|1592638|"GbC"|"Gilpin silt loam, 8 to 15 percent slopes"|8|272864
"Ashland County, Ohio"|288160|"GfA"|"Glenford silt loam, 0 to 2 percent slopes"|413|272864
"Ashland County, Ohio"|288161|"GfB"|"Glenford silt loam, 2 to 6 percent slopes"|1266|272864
"Ashland County, Ohio"|288162|"GfC"|"Glenford silt loam, 6 to 12 percent slopes"|540|272864
"Ashland County, Ohio"|1592650|"HaA"|"Haskins silt loam, 0 to 3 percent slopes"|1|272864
"Ashland County, Ohio"|1592620|"HkA"|"Haskins loam, 0 to 3 percent slopes"|9|272864
"Ashland County, Ohio"|288163|"Ho"|"Holly silt loam"|2099|272864
"Ashland County, Ohio"|1592621|"JmA"|"Jimtown loam, 0 to 3 percent slopes"|4|272864
"Ashland County, Ohio"|1592651|"JoB"|"Jimtown loam, 2 to 6 percent slopes"|6|272864
"Ashland County, Ohio"|288164|"JwA"|"Jimtown silt loam, 0 to 2 percent slopes"|1386|272864
"Ashland County, Ohio"|288165|"JwB"|"Jimtown silt loam, 2 to 6 percent slopes"|632|272864
"Ashland County, Ohio"|288166|"Kb"|"Killbuck silt loam"|1608|272864
"Ashland County, Ohio"|1592612|"LfB"|"Latham silt loam, 2 to 6 percent slopes"|4|272864
"Ashland County, Ohio"|288167|"Ln"|"Linwood muck"|293|272864
"Ashland County, Ohio"|288168|"Lo"|"Lobdell silt loam"|6196|272864
"Ashland County, Ohio"|288169|"LtB"|"Lordstown silt loam, 2 to 6 percent slopes"|671|272864
"Ashland County, Ohio"|288170|"LtC"|"Lordstown silt loam, 6 to 12 percent slopes"|2317|272864
"Ashland County, Ohio"|288171|"LtD"|"Lordstown silt loam, 12 to 18 percent slopes"|2893|272864
"Ashland County, Ohio"|288172|"LtE"|"Lordstown silt loam, 18 to 25 percent slopes"|2264|272864
"Ashland County, Ohio"|288173|"LtF"|"Lordstown silt loam, 25 to 40 percent slopes"|3325|272864
"Ashland County, Ohio"|1592613|"LuE"|"Lordstown and Loudonville silt loams, 18 to 25 percent slopes"|1|272864
